RT,mz,name,adduct,fill_perc,SN_ratio
4.707,1449.96167,w/o MS2:RIKEN P-VS1 ID-19934 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,0.562,6.63
4.709,1466.99854,CL 72:8|CL 36:4_36:4,[M+NH4]+,0.969,2275.88
4.71,1021.79028,w/o MS2:SM 56:7;2O,[M+H]+,0.319,4.94
4.711,868.73126,TG 52:6|TG 16:1_18:2_18:3,[M+NH4]+,0.769,232.73
4.721,897.75665,w/o MS2:RIKEN P-VS1 ID-15094 from Cell_HeLa_WT_N_Ctr,[M+H]+,0.025,119.73
4.728,816.70386,w/o MS2:TG 8:0_8:0_32:4,[M+H]+,0.506,56.73
4.728,921.75623,w/o MS2:SM 48:1;2O,[M+H]+,0.025,28.03
4.73,908.74707,w/o MS2:PC O-46:4,[M+H-2H2O]+,0.494,70.41
4.731,863.68018,Unknown,[M+H]+,0.75,30.16
4.732,880.71326,Unknown,[M+NH4]+,0.969,586.62
4.732,923.78973,w/o MS2:RIKEN P-VS1 ID-15912 from Mouse_SmallIntestine_WT_N_F1EPA,[M+K]+,0.013,29.16
4.733,894.74756,TG 54:7|TG 18:2_18:2_18:3,[M+NH4]+,0.806,2432.33
4.733,907.72614,w/o MS2:SM 30:1;2O(FA 18:3),[M+Na]+,0.419,54.38
4.742,932.77032,w/o MS2:TG 8:0_11:0_38:9,[M+H]+,0.438,51.28
4.744,886.74603,w/o MS2:ST 28:2;O;Hex;FA 21:0,[M+H]+,0.488,55.51
4.746,945.82727,w/o MS2:TG O-14:0_22:0_22:5,[M+H]+,0.094,4.28
4.75,944.82068,w/o MS2:RIKEN P-VS1 ID-16501 from Mouse_AdrenalGlands_WT_N_Ctr,[M+H]+,0.112,5.25
4.751,944.76373,TG 58:10|TG 18:2_18:2_22:6,[M+NH4]+,0.969,9656.27
4.755,945.71814,w/o MS2:RIKEN P-VS1 ID-16512 from Mouse_Kidney_WT_N_F1DHA,[M+H]+,0.131,26.55
4.757,973.79456,w/o MS2:RIKEN P-VS1 ID-17110 from Mouse_Testis_WT_N_Ctr,[M+H]+,0.006,7.02
4.759,986.81329,w/o MS2:TG 8:0_15:0_38:10,[M+H]+,0.456,5.19
4.759,1493.01184,CL 74:9|CL 36:4_38:5,[M+NH4]+,0.969,20.25
4.76,949.72656,w/o MS2:TG 8:0_12:0_38:10,[M+Na]+,0.775,42.89
4.765,971.77686,w/o MS2:SM 52:4;2O,[M+H]+,0.075,13.31
4.768,970.77753,TG 60:11|TG 18:2_20:4_22:5,[M+NH4]+,0.094,228.11
4.777,994.78668,Unsettled: TG 18:1_22:6_22:6,[M+NH4]+,0.887,52.97
4.778,968.76154,Unsettled: TG 16:0_22:6_22:6,[M+NH4]+,0.869,180.03
4.782,1022.80927,w/o MS2:DGDG O-13:0_28:0,[M+H]+,0.575,51.39
4.797,896.76294,TG 54:6|TG 18:0_18:3_18:3,[M+NH4]+,0.075,140.44
4.798,997.8092,w/o MS2:SM 12:0;2O/44:8,[M+H]+,0.031,6.42
4.799,873.69464,w/o MS2:TG 8:0_8:0_36:6,[M+H]+,0.106,35.35
4.8,998.80243,w/o MS2:MGDG O-24:1_28:7,[M+H]+,0.188,11.31
4.802,868.73169,Unsettled: TG 16:0_18:2_18:4,[M+NH4]+,0.919,648.14
4.805,897.76202,w/o MS2:RIKEN P-VS1 ID-15094 from Cell_HeLa_WT_N_Ctr,[M+H]+,0.062,63.04
4.808,972.74518,w/o MS2:DG 18:5_44:12,[M+H]+,0.013,90.95
4.81,882.75403,w/o MS2:TG 8:0_9:0_36:6,[M+Na]+,0.125,29.91
4.813,856.73523,w/o MS2:TG 8:0_9:0_34:5,[M+H]+,0.538,13.68
4.813,883.74701,w/o MS2:RIKEN P-VS1 ID-14640 from Mouse_Aorta_ApoEKO_N_F1DHA,[M+H]+,0.094,17.29
4.824,946.77991,TG 58:9|TG 18:2_18:2_22:5,[M+NH4]+,0.125,2364.07
4.824,974.8067,w/o MS2:MGDG O-22:0_28:6,[M+H]+,0.338,29.25
4.827,906.7486,TG 55:8|TG 15:0_18:2_22:6,[M+NH4]+,0.812,192.79
4.828,269.22409,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,0.025,15.16
4.829,951.74109,w/o MS2:TG 8:0_12:0_38:9,[M+Na]+,0.056,29.17
4.832,934.77966,w/o MS2:TG 8:0_11:0_38:8,[M+K]+,0.369,38.65
4.832,961.79132,w/o MS2:RIKEN P-VS1 ID-16863 from Mouse_Muscle_WT_CTX0_Ctr,[M+H]+,0.138,21.03
4.833,947.78186,w/o MS2:RIKEN P-VS1 ID-16565 from Mouse_Plasma_ApoEKO_N_F1EPA,[M+H]+,0.475,361.44
4.834,932.76862,w/o MS2:TG 8:0_11:0_38:9,[M+H]+,0.406,46.43
4.835,999.81256,w/o MS2:CoQ12,[M+H]+,0.025,5.99
4.837,975.81909,w/o MS2:RIKEN P-VS1 ID-17145 from Mouse_Testis_WT_N_Ctr,[M+H]+,0.1,5.97
4.838,925.72443,Unknown,[M+Na]+,0.844,179.3
4.838,949.7901,w/o MS2:RIKEN P-VS1 ID-16602 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,0.119,153.44
4.839,962.80463,w/o MS2:RIKEN P-VS1 ID-16883 from Mouse_Adipose_WT_N_F1EPA,[M+H]+,0.456,24.5
4.842,941.68811,w/o MS2:RIKEN P-VS1 ID-16401 from Mouse_Plasma_WT_N_F1DHA,[M+K]+,0.525,34.13
4.845,950.80206,w/o MS2:RIKEN P-VS1 ID-16629 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,0.031,12.36
4.847,920.76184,TG 56:8|TG 18:2_18:2_20:4,[M+NH4]+,0.969,11501.25
4.85,996.7984,Unsettled: TG 18:1_22:5_22:6,[M+NH4]+,0.856,37.28
4.851,920.83154,w/o MS2:DGTS 27:0_20:1,[M+H]+,0.05,4.46
4.854,1443.00281,CL 70:6|CL 34:3_36:3,[M+NH4]+,0.456,8.11
4.856,1024.8313,w/o MS2:TG 8:0_18:2_38:10,[M+H]+,0.237,6.95
4.858,688.60028,CE 20:5,[M+NH4]+,0.812,107.92
4.866,818.72156,TG 48:3|TG 14:0_16:1_18:2,[M+NH4]+,0.856,105.78
4.867,921.71997,w/o MS2:RIKEN P-VS1 ID-15864 from Mouse_Kidney_WT_N_F1DHA,[M+H]+,0.038,34.74
4.869,899.70288,Unknown,[M+H]+,0.356,45.1
4.87,894.7489,TG 54:7|TG 16:0_18:2_20:5,[M+NH4]+,0.969,8153.6
4.871,970.78137,Unsettled: TG 18:1_20:4_22:6,[M+NH4]+,0.962,237.67
4.872,923.78387,w/o MS2:RIKEN P-VS1 ID-15910 from Mouse_WAT_fads2KO_N_Ctr,[M+H]+,0.162,286.7
4.875,944.76288,Unsettled: TG 16:0_20:4_22:6,[M+NH4]+,0.969,580.83
4.876,1469.01013,CL 72:7|CL 36:3_36:4,[M+NH4]+,0.969,696.42
4.886,1472.01819,Unknown,[M+H]+,0.006,20.09
4.888,844.73047,TG 50:4|TG 14:0_18:2_18:2,[M+NH4]+,0.962,1592.33
4.889,874.76868,w/o MS2:MGDG O-14:0_28:0,[M+H]+,0.025,22.73
4.894,873.76282,w/o MS2:SL 25:0;O/26:1;O,[M+H]+,0.044,129
4.912,925.79449,w/o MS2:RIKEN P-VS1 ID-15957 from Mouse_Adipose_WT_N_F1,[M+NH4]+,0.225,557.51
4.913,872.75226,TG 52:4|TG 16:1_16:1_20:2,[M+NH4]+,0.031,345.27
4.914,901.71191,Unknown,[M+Na]+,0.55,90.58
4.914,938.80414,w/o MS2:MGDG O-19:0_28:3,[M+H]+,0.412,13.01
4.915,902.7243,w/o MS2:TG 8:0_9:0_38:10,[M+H]+,0.112,58.62
4.916,896.76135,TG 54:6|TG 18:2_18:2_18:2,[M+NH4]+,0.237,13352.91
4.919,899.77716,w/o MS2:SM 8:0;2O/40:1,[M+H]+,0.144,91.96
4.921,926.80737,w/o MS2:MGDG O-18:0_28:2,[M+H]+,0.038,26.88
4.925,870.74628,TG 52:5|TG 16:0_18:2_18:3,[M+NH4]+,0.962,3930.76
4.925,875.70319,w/o MS2:SM 9:0;2O/38:6,[M+H]+,0.319,61.27
4.926,882.74738,TG 53:6|TG 15:0_18:2_20:4,[M+NH4]+,0.731,63.83
4.941,921.76776,w/o MS2:SM 48:1;2O,[M+H]+,0.019,16194.1
4.942,908.76477,TG 55:7|TG 17:1_18:2_20:4,[M+NH4]+,0.781,154.02
4.946,876.70874,w/o MS2:TG 8:0_9:0_36:9,[M+H]+,0.056,25.89
4.947,920.76733,TG 56:8|TG 16:0_18:2_22:6,[M+NH4]+,0.969,32194
4.949,714.61359,CE 22:6,[M+NH4]+,0.969,246.87
4.951,946.7804,TG 58:9|TG 18:1_18:2_22:6,[M+NH4]+,0.969,3609.59
4.953,921.7157,w/o MS2:RIKEN P-VS1 ID-15864 from Mouse_Kidney_WT_N_F1DHA,[M+H]+,0.05,152.55
4.954,948.74066,w/o MS2:PC 8:0_40:5,[M+Na]+,0.069,114.39
4.954,962.79584,w/o MS2:PC O-50:5,[M+H]+,0.394,37.53
4.955,973.79333,w/o MS2:RIKEN P-VS1 ID-17110 from Mouse_Testis_WT_N_Ctr,[M+H]+,0.312,11.88
4.957,925.71436,w/o MS2:SM 49:6;2O,[M+Na]+,0.931,263.64
4.96,974.81012,w/o MS2:TG 8:0_14:0_38:9,[M+H]+,0.05,15.77
4.961,941.69354,w/o MS2:RIKEN P-VS1 ID-16401 from Mouse_Plasma_WT_N_F1DHA,[M+H]+,0.625,38.13
4.961,972.79156,Unsettled: TG 18:2_20:4_22:4,[M+NH4]+,0.625,40.15
4.979,369.35138,w/o MS2:RIKEN P-VS1 ID-2084 from Mouse_Plasma_ApoEKO_N_F1EPA,[M+H]+,0.269,44.59
4.98,1000.83447,w/o MS2:TG 8:0_16:0_38:10,[M+K]+,0.05,3.22
4.989,664.59906,CE 18:3,[M+NH4]+,0.837,83.77
